"file" "coverage" "spikiness" "evenness.mean" "evenness.med" "background" "quality"
"1" "blm-1-single-c10-w11_.trimmed.mdup.bam" 23 0.272746553552492 0.294857205392057 0.294150516539615 0.0291384968173012 "okay"
"2" "blm-1-single-c10-w15_.trimmed.mdup.bam" 55 0.191639085189492 0.219583145840823 0.21936524400114 0.0159801475300309 "okay"
"3" "blm-1-single-c10-w19_.trimmed.mdup.bam" 60 0.192692356064459 0.218817152113971 0.218528676158049 0.0231383302040982 "okay"
"4" "blm-1-single-c10-w30_.trimmed.mdup.bam" 39 0.22061893548441 0.226290578141448 0.226212461998755 0.017261118450022 "okay"
"5" "blm-1-single-c10-w31_.trimmed.mdup.bam" 82 0.217775775155594 0.237437728612016 0.23702403180217 0.0133629764635641 "okay"
"6" "blm-1-single-c10-w33_.trimmed.mdup.bam" 47 0.21643259853718 0.183390475399399 0.178161454386996 0.0196930644699382 "okay"
"7" "blm-1-single-c10-w34_.trimmed.mdup.bam" 66 0.19372965258886 0.228853338221171 0.228718039139088 0.0252870113303819 "okay"
"8" "blm-1-single-c10-w37_.trimmed.mdup.bam" 35 0.238835117123437 0.237735409232502 0.237681106539798 0.0236202433045431 "okay"
"9" "blm-1-single-c10-w38_.trimmed.mdup.bam" 34 0.227523465703971 0.235924293573246 0.235444119274474 0.019807416995156 "okay"
"10" "blm-1-single-c10-w41_.trimmed.mdup.bam" 76 0.177373773815046 0.216734692062862 0.216637438973887 0.0181342083532531 "okay"
"11" "blm-1-single-c5-w11-3d6_S111_.trimmed.mdup.bam" 41 0.257713814690222 0.252206944234052 0.250266719674578 0.0249512551791372 "okay"
"12" "blm-1-single-c5-w16-3d6_S116_.trimmed.mdup.bam" 39 0.258240629543012 0.254632746270766 0.253143056063452 0.107425058602543 "okay"
"13" "blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam" 35 0.276099836556797 0.258541661734327 0.255885695329219 0.0375293980284556 "okay"
"14" "blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam" 43 0.250822562507809 0.251671582916939 0.250146106367396 0.0250135640850851 "okay"
"15" "blm-1-single-c5-w21-3d6_S121_.trimmed.mdup.bam" 47 0.246952217580892 0.252382850009362 0.25089326760844 0.021863375283269 "okay"
"16" "blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam" 45 0.269231031310688 0.25669553259127 0.25578438916728 0.0245248313917842 "okay"
"17" "blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam" 21 0.305615069379538 0.256079661704648 0.255075435475122 0.0246408177100988 "okay"
"18" "blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam" 30 0.296558232035229 0.258402856493146 0.25674532725903 0.0244371721291256 "okay"
"19" "blm-1-single-c5-w30-3d6_S130_.trimmed.mdup.bam" 28 0.336990851404929 0.259814548335853 0.252729817141614 0.0800303811636785 "okay"
"20" "blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam" 43 0.261429224225808 0.251290498186592 0.249488429578897 0.0372527414869615 "okay"
"21" "blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam" 47 0.256531083026085 0.256461937167355 0.254844326019853 0.0211997363216875 "okay"
"22" "blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam" 84 0.211362721454934 0.247631905262772 0.247232482018125 0.0157564376302318 "okay"
