Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f12-r4-c4_S1152_	129	0.0005565	0.9443	567584	567584	72.788215	0.040604	0.0146799762460071	0.0359921592279855	103	0.416666666666667	0.417954	0.156832
f1216-wt-mesc-a1h5-hkt-f12-r4-c5_S1153_	129	0.00531159	0.9761	488116	488116	73.043805	0.043236	0.0126341926171034	0.0412789265204784	89	0.5	0.414945	0.140738
f1216-wt-mesc-a1h5-hkt-f12-r4-c6_S1154_	129	0.0124368	0.9702	610362	610362	72.768472	0.040861	0.0157778756639953	0.0321736767004145	111	0.534883720930233	0.415313	0.163411
f1216-wt-mesc-a1h5-hkt-f12-r5-c2_S1155_	133	0.00130565	0.9629	521416	521416	73.261189	0.042434	0.0135476282070645	0.0295206157802373	97	0.514285714285714	0.415973	0.147625
f1216-wt-mesc-a1h5-hkt-f12-r5-c3_S1156_	131	0.000174525	0.9688	596448	596448	72.859579	0.043283	0.0153985196299817	0.0443042343747843	110	0.457142857142857	0.415729	NA
f1216-wt-mesc-a1h5-hkt-f12-r5-c4_S1157_	130	0.00069829	0.9742	590732	590732	72.855369	0.044677	0.0152278478557798	0.0272220030434538	106	0.5	0.415119	0.149933
f1216-wt-mesc-a1h5-hkt-f12-r5-c5_S1158_	129	0.00320495	0.9697	582758	582758	73.066832	0.042017	0.0151078463780776	0.0294706842072654	108	0.485714285714286	0.413694	0.157123
f1216-wt-mesc-a1h5-hkt-f12-r5-c6_S1159_	130	0.000668425	0.9747	499616	499616	73.133849	0.043726	0.0129411643466513	0.0333473785589598	90	0.575757575757576	0.414043	0.140005
f1216-wt-mesc-a1h5-hkt-f12-r6-c2_S1160_	115	0.00271687	0.9429	389622	389622	70.558821	0.026328	0.0099138810468879	0.0436312578005824	72	0.62962962962963	0.419893	0.156855
f1216-wt-mesc-a1h5-hkt-f12-r6-c3_S1161_	111	0.0192864	0.9638	272828	272828	70.401638	0.02216	0.00695625890671831	0.0501507262263634	50	0.481481481481481	0.422249	0.142859
f1216-wt-mesc-a1h5-hkt-f12-r6-c4_S1162_	109	0.0086492	0.8981	245648	245648	69.987295	0.020305	0.00623820393644776	0.0705930220730343	46	0.5	0.423971	NA
f1216-wt-mesc-a1h5-hkt-f12-r6-c5_S1163_	109	0.00109904	0.8933	313336	313336	70.047987	0.021964	0.00795054739609188	0.0723036581696256	57	0.533333333333333	0.423914	0.152458
f1216-wt-mesc-a1h5-hkt-r54-c55_S631_	123	0.00848613	0.918	455762	455762	71.766097	0.031411	0.0117336521293209	0.200245431038261	79	0.538461538461538	0.427584	0.157863
f1216-wt-mesc-a1h5-hkt-r54-c56_S632_	125	0.0213205	0.9588	395978	395978	72.114991	0.028653	0.0102732356568651	0.0258573626482704	73	0.666666666666667	0.420235	NA
f1216-wt-mesc-a1h5-hkt-r54-c57_S633_	131	0.00588148	0.9716	283448	283448	73.330547	0.031258	0.00745766183340432	0.0176152712471051	53	0.533333333333333	0.423693	0.119558
f1216-wt-mesc-a1h5-hkt-r54-c58_S634_	126	0.00614755	0.941	468244	468244	72.150306	0.031074	0.012123757587466	0.120539869686627	84	0.45	0.426346	0.165477
f1216-wt-mesc-a1h5-hkt-r54-c59_S635_	NA	0.00121813	0.3838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-wt-mesc-a1h5-hkt-r54-c60_S636_	127	0.0004973	0.937	462262	462262	72.29421	0.029395	0.012013525382934	0.0241558049418751	84	0.533333333333333	0.42114	0.16476
f1216-wt-mesc-a1h5-hkt-r54-c61_S637_	124	0.00768961	0.922	316856	316856	72.209546	0.029906	0.00822065844176964	0.04889685246751	58	0.488372093023256	0.420068	0.133167
f1216-wt-mesc-a1h5-hkt-r54-c62_S638_	126	0.00822168	0.9466	511748	511748	72.372924	0.032477	0.01327179934597	0.0998262946477038	93	0.534883720930233	0.423645	0.168231
f1216-wt-mesc-a1h5-hkt-r54-c63_S639_	124	0.00958864	0.9788	405720	405720	71.864927	0.031219	0.0104617720768231	0.0427899779801226	75	0.411764705882353	0.420625	0.149557
f1216-wt-mesc-a1h5-hkt-r54-c64_S640_	125	0.000675074	0.9334	528568	528568	72.052667	0.032738	0.0136436726171072	0.185696903089061	90	0.56140350877193	0.42731	0.166371
f1216-wt-mesc-a1h5-hkt-r54-c65_S641_	130	6.38117e-05	0.9636	442192	442192	72.500776	0.030589	0.0115105934595453	0.0231424128205804	84	0.538461538461538	0.419891	0.158755
f1216-wt-mesc-a1h5-hkt-r54-c66_S642_	125	0.000168421	0.959	455776	455776	71.977636	0.032542	0.0117548580069211	0.0304031140337943	84	0.5	0.419228	0.156379
f1216-wt-mesc-a1h5-hkt-r54-c67_S643_	125	0.00381291	0.9595	412372	412372	72.136908	0.033479	0.0106486419049904	0.0563457407225397	76	0.454545454545455	0.419627	0.145555
f1216-wt-mesc-a1h5-hkt-r54-c68_S644_	126	0.0121891	0.9754	401394	401394	72.433863	0.033852	0.010403810156117	0.0286035975658794	75	0.566666666666667	0.416425	0.145124
f1216-wt-mesc-a1h5-hkt-r54-c69_S645_	127	0.00133939	0.9703	432024	432024	72.437839	0.030637	0.0112355939132351	0.030155188490742	78	0.405405405405405	0.418254	0.158482
f1216-wt-mesc-a1h5-hkt-r54-c70_S646_	128	0.00241487	0.9804	283034	283034	73.082555	0.035939	0.00738572412007514	0.0239488680117049	52	0.5	0.419714	0.113219
f1216-wt-mesc-a1h5-hkt-r55-c55_S667_	126	0.00575211	0.9379	418048	418048	72.275755	0.030791	0.0108460714541501	0.0276487890356092	80	0.464285714285714	0.418937	0.156138
f1216-wt-mesc-a1h5-hkt-r55-c56_S668_	125	0.0166161	0.9639	460560	460560	72.190757	0.031054	0.0119317356355949	0.0292368952162767	88	0.571428571428571	0.419681	0.161553
f1216-wt-mesc-a1h5-hkt-r55-c57_S669_	131	0.00605154	0.9689	475072	475072	72.655757	0.032774	0.0123649870171181	0.0458872427431789	89	0.476190476190476	0.421689	0.163004
f1216-wt-mesc-a1h5-hkt-r55-c58_S670_	131	0.00357337	0.958	537382	537382	72.571845	0.031903	0.0139831942188845	0.0661412572118104	99	0.538461538461538	0.421606	0.174105
f1216-wt-mesc-a1h5-hkt-r55-c59_S671_	132	8.46074e-05	0.9571	550698	550698	72.665828	0.031865	0.0143488099245332	0.0225853951925669	104	0.428571428571429	0.420489	0.177645
f1216-wt-mesc-a1h5-hkt-r55-c60_S672_	129	0.000400042	0.9461	502800	502800	72.448727	0.032506	0.0130530061942124	0.0257722537013343	94	0.419354838709677	0.42105	0.165485
f1216-wt-mesc-a1h5-hkt-r55-c61_S673_	130	0.00324239	0.9581	579254	579254	72.087103	0.032148	0.014968276664769	0.156718326428316	99	0.590909090909091	0.42636	0.178686
f1216-wt-mesc-a1h5-hkt-r55-c62_S674_	135	0.0016964	0.9757	593286	593286	72.884695	0.034149	0.0154684504546301	0.0279299014238773	110	0.459459459459459	0.421402	0.178032
f1216-wt-mesc-a1h5-hkt-r55-c63_S675_	127	0.0101435	0.978	466108	466108	72.303084	0.03464	0.012049496906626	0.0340131183226878	87	0.441176470588235	0.417987	0.153737
f1216-wt-mesc-a1h5-hkt-r55-c64_S676_	126	0.000492848	0.9395	557498	557498	72.126675	0.033281	0.0143971230267202	0.0277852427411345	103	0.545454545454545	0.419073	0.173401
f1216-wt-mesc-a1h5-hkt-r55-c65_S677_	131	6.54064e-05	0.9658	577304	577304	72.573985	0.034983	0.0149746519538688	0.134515221909769	103	0.511111111111111	0.42482	0.169046
f1216-wt-mesc-a1h5-hkt-r55-c66_S678_	126	0.000134293	0.9552	549050	549050	72.148238	0.03144	0.0142102065429543	0.0346139150369933	102	0.3	0.419031	0.169921
f1216-wt-mesc-a1h5-hkt-r55-c67_S679_	125	0.00353651	0.9574	544942	544942	71.908853	0.033141	0.0140324021615287	0.0315445719329214	100	0.5625	0.417416	0.169702
f1216-wt-mesc-a1h5-hkt-r55-c68_S680_	133	0.00708918	0.9788	515500	515500	72.940632	0.038254	0.0133935226400814	0.0784852391115995	95	0.444444444444444	0.418129	0.157654
f1216-wt-mesc-a1h5-hkt-r55-c69_S681_	125	0.00140087	0.968	515088	515088	72.246973	0.033404	0.0133223953494639	0.0300357123820692	97	0.6	0.417318	0.164731
f1216-wt-mesc-a1h5-hkt-r55-c70_S682_	128	0.00325172	0.9772	428500	428500	72.597715	0.037517	0.0110892731505699	0.0315066501926012	79	0.625	0.421019	0.141581
f1216-wt-mesc-a1h5-hkt-r56-c55_S703_	134	0.00517853	0.9441	475196	475196	72.706584	0.03218	0.0123844677110922	0.0826387021600789	87	0.540540540540541	0.42174	0.164587
f1216-wt-mesc-a1h5-hkt-r56-c56_S704_	125	0.0225	0.9582	473436	473436	72.115344	0.031869	0.0122421957792299	0.03270032700327	89	0.625	0.419486	0.159246
f1216-wt-mesc-a1h5-hkt-r56-c57_S705_	132	0.00619433	0.9679	378020	378020	73.32293	0.034104	0.0099156500811525	0.0269756349104035	70	0.407407407407407	0.425607	0.140634
f1216-wt-mesc-a1h5-hkt-r56-c58_S706_	130	0.00425904	0.9559	473170	473170	72.834632	0.034301	0.012326311805716	0.0302144515776533	88	0.566666666666667	0.423805	0.157891
f1216-wt-mesc-a1h5-hkt-r56-c59_S707_	129	6.18187e-05	0.9564	431080	431080	72.896244	0.033432	0.0112494599712099	0.0605200653937506	78	0.514285714285714	0.42748	0.152464
f1216-wt-mesc-a1h5-hkt-r56-c60_S708_	126	0.000649684	0.9213	505464	505464	72.123997	0.03042	0.0130915147939746	0.0284353647594727	95	0.53125	0.420435	0.169748
f1216-wt-mesc-a1h5-hkt-r56-c61_S709_	123	0.00532345	0.943	509908	509908	71.676516	0.031292	0.0131128724010173	0.0333518265619665	96	0.448275862068966	0.420963	0.167916
f1216-wt-mesc-a1h5-hkt-r56-c62_S710_	127	0.00728812	0.9507	545096	545096	72.15622	0.031844	0.0141035468736474	0.0440508534334363	100	0.459459459459459	0.424198	0.171761
f1216-wt-mesc-a1h5-hkt-r56-c63_S711_	126	0.0155483	0.9755	476298	476298	71.866772	0.030435	0.0122919295285386	0.0449134863173396	89	0.540540540540541	0.423834	0.167176
f1216-wt-mesc-a1h5-hkt-r56-c64_S712_	125	0.000683967	0.928	613896	613896	72.026358	0.03511	0.0158015722137235	0.195672498998264	107	0.536585365853659	0.426116	0.173927
f1216-wt-mesc-a1h5-hkt-r56-c65_S713_	129	6.93932e-05	0.9512	541266	541266	72.368723	0.032051	0.014042691918882	0.0310736234792424	101	0.517241379310345	0.422503	0.172266
f1216-wt-mesc-a1h5-hkt-r56-c66_S714_	126	0.000159217	0.9438	566954	566954	72.057132	0.031847	0.0146489004452364	0.0371634948920599	105	0.4375	0.420424	0.17551
f1216-wt-mesc-a1h5-hkt-r56-c67_S715_	124	0.00446795	0.9516	565516	565516	71.633296	0.034146	0.0144913067566215	0.0405814210875821	101	0.461538461538462	0.42062	0.169637
f1216-wt-mesc-a1h5-hkt-r56-c68_S716_	134	0.00531529	0.9815	385202	385202	73.616178	0.040083	0.0100816523699337	0.114238863077344	67	0.509803921568627	0.423899	0.130335
f1216-wt-mesc-a1h5-hkt-r56-c69_S717_	127	0.00183125	0.9634	583568	583568	72.307241	0.034245	0.0150930308964089	0.0594082563442872	106	0.394736842105263	0.420616	0.175332
f1216-wt-mesc-a1h5-hkt-r56-c70_S718_	128	0.00357805	0.9758	568120	568120	72.408792	0.037397	0.0146661062595614	0.0326034381332113	104	0.46875	0.418331	0.162943
