Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f12-r5-c5_S1158_	G	129	0.00320495	0.9697	582758	582758	73.066832	0.042017	0.0151078464	0.0294706842	108	0.4857142857	0.413694	0.157123
f1216-wt-mesc-a1h5-hkt-f12-r5-c6_S1159_	G	130	0.000668425	0.9747	499616	499616	73.133849	0.043726	0.0129411643	0.0333473786	90	0.5757575758	0.414043	0.140005
f1216-wt-mesc-a1h5-hkt-f12-r6-c2_S1160_	G	115	0.00271687	0.9429	389622	389622	70.558821	0.026328	0.009913881	0.0436312578	72	0.6296296296	0.419893	0.156855
f1216-wt-mesc-a1h5-hkt-f12-r6-c3_S1161_	G	111	0.0192864	0.9638	272828	272828	70.401638	0.02216	0.0069562589	0.0501507262	50	0.4814814815	0.422249	0.142859
f1216-wt-mesc-a1h5-hkt-f12-r6-c4_S1162_	G	109	0.0086492	0.8981	245648	245648	69.987295	0.020305	0.0062382039	0.0705930221	46	0.5	0.423971	NA
f1216-wt-mesc-a1h5-hkt-f12-r6-c5_S1163_	P	109	0.00109904	0.8933	313336	313336	70.047987	0.021964	0.0079505474	0.0723036582	57	0.5333333333	0.423914	0.152458
f1216-wt-mesc-a1h5-hkt-r54-c55_S631_	P	123	0.00848613	0.918	455762	455762	71.766097	0.031411	0.0117336521	0.200245431	79	0.5384615385	0.427584	0.157863
f1216-wt-mesc-a1h5-hkt-r54-c56_S632_	G	125	0.0213205	0.9588	395978	395978	72.114991	0.028653	0.0102732357	0.0258573626	73	0.6666666667	0.420235	NA
f1216-wt-mesc-a1h5-hkt-r54-c57_S633_	G	131	0.00588148	0.9716	283448	283448	73.330547	0.031258	0.0074576618	0.0176152712	53	0.5333333333	0.423693	0.119558
f1216-wt-mesc-a1h5-hkt-r54-c58_S634_	P	126	0.00614755	0.941	468244	468244	72.150306	0.031074	0.0121237576	0.1205398697	84	0.45	0.426346	0.165477
f1216-wt-mesc-a1h5-hkt-r54-c59_S635_	G	NA	0.00121813	0.3838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f1216-wt-mesc-a1h5-hkt-r54-c60_S636_	G	127	0.0004973	0.937	462262	462262	72.29421	0.029395	0.0120135254	0.0241558049	84	0.5333333333	0.42114	0.16476
f1216-wt-mesc-a1h5-hkt-r54-c61_S637_	G	124	0.00768961	0.922	316856	316856	72.209546	0.029906	0.0082206584	0.0488968525	58	0.488372093	0.420068	0.133167
f1216-wt-mesc-a1h5-hkt-r54-c62_S638_	P	126	0.00822168	0.9466	511748	511748	72.372924	0.032477	0.0132717993	0.0998262946	93	0.5348837209	0.423645	0.168231
f1216-wt-mesc-a1h5-hkt-r54-c63_S639_	G	124	0.00958864	0.9788	405720	405720	71.864927	0.031219	0.0104617721	0.042789978	75	0.4117647059	0.420625	0.149557
f1216-wt-mesc-a1h5-hkt-r54-c64_S640_	P	125	0.000675074	0.9334	528568	528568	72.052667	0.032738	0.0136436726	0.1856969031	90	0.5614035088	0.42731	0.166371
f1216-wt-mesc-a1h5-hkt-r54-c65_S641_	G	130	6.38117E-05	0.9636	442192	442192	72.500776	0.030589	0.0115105935	0.0231424128	84	0.5384615385	0.419891	0.158755
f1216-wt-mesc-a1h5-hkt-r54-c66_S642_	G	125	0.000168421	0.959	455776	455776	71.977636	0.032542	0.011754858	0.030403114	84	0.5	0.419228	0.156379
f1216-wt-mesc-a1h5-hkt-r54-c67_S643_	G	125	0.00381291	0.9595	412372	412372	72.136908	0.033479	0.0106486419	0.0563457407	76	0.4545454545	0.419627	0.145555
f1216-wt-mesc-a1h5-hkt-r54-c68_S644_	G	126	0.0121891	0.9754	401394	401394	72.433863	0.033852	0.0104038102	0.0286035976	75	0.5666666667	0.416425	0.145124
f1216-wt-mesc-a1h5-hkt-r54-c69_S645_	G	127	0.00133939	0.9703	432024	432024	72.437839	0.030637	0.0112355939	0.0301551885	78	0.4054054054	0.418254	0.158482
f1216-wt-mesc-a1h5-hkt-r54-c70_S646_	G	128	0.00241487	0.9804	283034	283034	73.082555	0.035939	0.0073857241	0.023948868	52	0.5	0.419714	0.113219
f1216-wt-mesc-a1h5-hkt-r55-c55_S667_	G	126	0.00575211	0.9379	418048	418048	72.275755	0.030791	0.0108460715	0.027648789	80	0.4642857143	0.418937	0.156138
f1216-wt-mesc-a1h5-hkt-r55-c56_S668_	G	125	0.0166161	0.9639	460560	460560	72.190757	0.031054	0.0119317356	0.0292368952	88	0.5714285714	0.419681	0.161553
f1216-wt-mesc-a1h5-hkt-r55-c57_S669_	G	131	0.00605154	0.9689	475072	475072	72.655757	0.032774	0.012364987	0.0458872427	89	0.4761904762	0.421689	0.163004
f1216-wt-mesc-a1h5-hkt-r55-c58_S670_	G	131	0.00357337	0.958	537382	537382	72.571845	0.031903	0.0139831942	0.0661412572	99	0.5384615385	0.421606	0.174105
f1216-wt-mesc-a1h5-hkt-r55-c59_S671_	G	132	8.46074E-05	0.9571	550698	550698	72.665828	0.031865	0.0143488099	0.0225853952	104	0.4285714286	0.420489	0.177645
f1216-wt-mesc-a1h5-hkt-r55-c60_S672_	G	129	0.000400042	0.9461	502800	502800	72.448727	0.032506	0.0130530062	0.0257722537	94	0.4193548387	0.42105	0.165485
f1216-wt-mesc-a1h5-hkt-r55-c61_S673_	P	130	0.00324239	0.9581	579254	579254	72.087103	0.032148	0.0149682767	0.1567183264	99	0.5909090909	0.42636	0.178686
f1216-wt-mesc-a1h5-hkt-r55-c62_S674_	G	135	0.0016964	0.9757	593286	593286	72.884695	0.034149	0.0154684505	0.0279299014	110	0.4594594595	0.421402	0.178032
f1216-wt-mesc-a1h5-hkt-r55-c63_S675_	G	127	0.0101435	0.978	466108	466108	72.303084	0.03464	0.0120494969	0.0340131183	87	0.4411764706	0.417987	0.153737
f1216-wt-mesc-a1h5-hkt-r55-c64_S676_	G	126	0.000492848	0.9395	557498	557498	72.126675	0.033281	0.014397123	0.0277852427	103	0.5454545455	0.419073	0.173401
f1216-wt-mesc-a1h5-hkt-r55-c65_S677_	P	131	6.54064E-05	0.9658	577304	577304	72.573985	0.034983	0.014974652	0.1345152219	103	0.5111111111	0.42482	0.169046
f1216-wt-mesc-a1h5-hkt-r55-c66_S678_	G	126	0.000134293	0.9552	549050	549050	72.148238	0.03144	0.0142102065	0.034613915	102	0.3	0.419031	0.169921
f1216-wt-mesc-a1h5-hkt-r55-c67_S679_	G	125	0.00353651	0.9574	544942	544942	71.908853	0.033141	0.0140324022	0.0315445719	100	0.5625	0.417416	0.169702
f1216-wt-mesc-a1h5-hkt-r55-c68_S680_	P	133	0.00708918	0.9788	515500	515500	72.940632	0.038254	0.0133935226	0.0784852391	95	0.4444444444	0.418129	0.157654
f1216-wt-mesc-a1h5-hkt-r55-c69_S681_	G	125	0.00140087	0.968	515088	515088	72.246973	0.033404	0.0133223953	0.0300357124	97	0.6	0.417318	0.164731
f1216-wt-mesc-a1h5-hkt-r55-c70_S682_	G	128	0.00325172	0.9772	428500	428500	72.597715	0.037517	0.0110892732	0.0315066502	79	0.625	0.421019	0.141581
f1216-wt-mesc-a1h5-hkt-r56-c55_S703_	G	134	0.00517853	0.9441	475196	475196	72.706584	0.03218	0.0123844677	0.0826387022	87	0.5405405405	0.42174	0.164587
f1216-wt-mesc-a1h5-hkt-r56-c56_S704_	G	125	0.0225	0.9582	473436	473436	72.115344	0.031869	0.0122421958	0.032700327	89	0.625	0.419486	0.159246
f1216-wt-mesc-a1h5-hkt-r56-c57_S705_	G	132	0.00619433	0.9679	378020	378020	73.32293	0.034104	0.0099156501	0.0269756349	70	0.4074074074	0.425607	0.140634
f1216-wt-mesc-a1h5-hkt-r56-c58_S706_	G	130	0.00425904	0.9559	473170	473170	72.834632	0.034301	0.0123263118	0.0302144516	88	0.5666666667	0.423805	0.157891
f1216-wt-mesc-a1h5-hkt-r56-c59_S707_	G	129	6.18187E-05	0.9564	431080	431080	72.896244	0.033432	0.01124946	0.0605200654	78	0.5142857143	0.42748	0.152464
f1216-wt-mesc-a1h5-hkt-r56-c60_S708_	G	126	0.000649684	0.9213	505464	505464	72.123997	0.03042	0.0130915148	0.0284353648	95	0.53125	0.420435	0.169748
f1216-wt-mesc-a1h5-hkt-r56-c61_S709_	G	123	0.00532345	0.943	509908	509908	71.676516	0.031292	0.0131128724	0.0333518266	96	0.4482758621	0.420963	0.167916
f1216-wt-mesc-a1h5-hkt-r56-c62_S710_	G	127	0.00728812	0.9507	545096	545096	72.15622	0.031844	0.0141035469	0.0440508534	100	0.4594594595	0.424198	0.171761
f1216-wt-mesc-a1h5-hkt-r56-c63_S711_	G	126	0.0155483	0.9755	476298	476298	71.866772	0.030435	0.0122919295	0.0449134863	89	0.5405405405	0.423834	0.167176
f1216-wt-mesc-a1h5-hkt-r56-c64_S712_	P	125	0.000683967	0.928	613896	613896	72.026358	0.03511	0.0158015722	0.195672499	107	0.5365853659	0.426116	0.173927
f1216-wt-mesc-a1h5-hkt-r56-c65_S713_	G	129	6.93932E-05	0.9512	541266	541266	72.368723	0.032051	0.0140426919	0.0310736235	101	0.5172413793	0.422503	0.172266
f1216-wt-mesc-a1h5-hkt-r56-c66_S714_	G	126	0.000159217	0.9438	566954	566954	72.057132	0.031847	0.0146489004	0.0371634949	105	0.4375	0.420424	0.17551
f1216-wt-mesc-a1h5-hkt-r56-c67_S715_	G	124	0.00446795	0.9516	565516	565516	71.633296	0.034146	0.0144913068	0.0405814211	101	0.4615384615	0.42062	0.169637
f1216-wt-mesc-a1h5-hkt-r56-c68_S716_	P	134	0.00531529	0.9815	385202	385202	73.616178	0.040083	0.0100816524	0.1142388631	67	0.5098039216	0.423899	0.130335
f1216-wt-mesc-a1h5-hkt-r56-c69_S717_	G	127	0.00183125	0.9634	583568	583568	72.307241	0.034245	0.0150930309	0.0594082563	106	0.3947368421	0.420616	0.175332
f1216-wt-mesc-a1h5-hkt-r56-c70_S718_	G	128	0.00357805	0.9758	568120	568120	72.408792	0.037397	0.0146661063	0.0326034381	104	0.46875	0.418331	0.162943
