Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-c38-mesc-a1h5-hkt-f13-r5-c4_S1182_	G	129	0.00202024	0.9465	493686	493686	72.95501	0.042156	0.012777237	0.0344308372	92	0.46875	0.415625	0.142463
f1216-c38-mesc-a1h5-hkt-f13-r5-c5_S1183_	G	134	0.00185348	0.9763	512736	512736	73.462862	0.044678	0.0133274687	0.029053635	95	0.525	0.412997	0.143493
f1216-c38-mesc-a1h5-hkt-f13-r5-c6_S1184_	G	131	0.000585434	0.9776	468204	468204	73.084508	0.042281	0.0121376549	0.036116766	85	0.4807692308	0.413428	0.141068
f1216-c38-mesc-a1h5-hkt-f13-r6-c2_S1185_	G	117	0.00186482	0.9569	391440	391440	70.953699	0.029787	0.0099802994	0.0475325172	73	0.4920634921	0.417599	0.147349
f1216-c38-mesc-a1h5-hkt-f13-r6-c3_S1186_	G	105	0.0523475	0.9234	226248	226248	69.391968	0.019554	0.0057010371	0.0827911151	42	0.5	0.427847	0.132825
f1216-c38-mesc-a1h5-hkt-f13-r6-c4_S1187_	G	114	0.00254245	0.959	298920	298920	70.478774	0.026161	0.0075986548	0.0503688031	56	0.4705882353	0.418204	0.134818
f1216-c38-mesc-a1h5-hkt-f13-r6-c5_S1188_	G	114	0.000252693	0.9579	367702	367702	70.722841	0.027267	0.0093688347	0.0811106926	69	0.5303030303	0.416821	0.148073
f1216-c38-mesc-a1h5-hkt-f14-r2-c2_S1190_	G	138	6.00415E-05	0.9375	306872	306872	74.05763	0.039613	0.0080836887	0.0314963163	56	0.4565217391	0.417625	0.11367
f1216-c38-mesc-a1h5-hkt-f14-r2-c3_S1191_	P	124	0.0015238	0.9192	711100	711100	72.358778	0.041094	0.0182740233	0.1521729578	124	0.4861111111	0.426561	0.172351
f1216-c38-mesc-a1h5-hkt-f14-r2-c4_S1192_	G	109	0.0258972	0.9085	160010	160010	70.912993	0.016524	0.0041330717	0.1705214178	29	0.4838709677	0.422858	0.120615
f1216-c38-mesc-a1h5-hkt-f14-r2-c5_S1193_	G	113	0.00151764	0.8286	75040	75040	70.638633	0.013033	0.001937644	0.0533379215	14	0.3461538462	0.42565	0.0833781
f1216-c38-mesc-a1h5-hkt-f14-r2-c6_S1194_	G	127	0.00525552	0.9159	569066	569066	72.828827	0.037486	0.0147743793	0.0278746945	109	0.48	0.421019	0.160498
f1216-c38-mesc-a1h5-hkt-f14-r3-c2_S1195_	G	125	0.00468723	0.9538	585940	585940	72.487442	0.039564	0.0151084735	0.045633852	109	0.4880952381	0.415288	0.158878
f1216-c38-mesc-a1h5-hkt-f14-r3-c3_S1196_	G	131	0.00534441	0.9661	418992	418992	73.486422	0.04285	0.010915134	0.0226996078	78	0.5581395349	0.413273	0.127427
f1216-c38-mesc-a1h5-hkt-f14-r3-c4_S1197_	G	123	0.00734586	0.9581	353532	353532	72.901242	0.037055	0.0091918171	0.0333924122	66	0.4626865672	0.414898	0.123719
f1216-c38-mesc-a1h5-hkt-f14-r3-c5_S1198_	G	141	0.000615435	0.9831	520192	520192	73.993983	0.050716	0.0135329498	0.0869736221	93	0.4915254237	0.416754	0.137418
f1216-c38-mesc-a1h5-hkt-f14-r3-c6_S1199_	G	123	0.00984206	0.9418	503880	503880	72.667514	0.039978	0.0130192164	0.0261191175	93	0.4769230769	0.414447	0.144372
f1216-c38-mesc-a1h5-hkt-f14-r4-c2_S1200_	G	127	0.00319813	0.9537	557204	557204	72.828747	0.040147	0.0144264019	0.027796949	103	0.5301204819	0.413417	0.155942
f1216-c38-mesc-a1h5-hkt-f14-r4-c3_S1201_	G	123	0.0131458	0.9331	705522	705522	72.136626	0.038411	0.0181255882	0.0700488219	128	0.5	0.421986	0.178704
f1216-c38-mesc-a1h5-hkt-f14-r4-c4_S1202_	G	106	0.00236892	0.8034	89598	89598	69.880299	0.012924	0.0022889689	0.158853706	16	0.4814814815	0.428359	0.0970537
f1216-c38-mesc-a1h5-hkt-f14-r4-c5_S1203_	G	128	0.00248327	0.981	449490	449490	73.205408	0.044406	0.0116458945	0.0593360019	82	0.4769230769	0.41355	0.131651
f1216-c38-mesc-a1h5-hkt-f14-r4-c6_S1204_	G	128	0.011627	0.9712	537946	537946	73.126537	0.042904	0.0139445796	0.0283643047	95	0.5238095238	0.412442	0.14734
