file	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f13-r2-c2_S1165_.processed.bam	0.00974991939907616	0.19113922573266	0.231212301265161	0.227776777234612
f1216-c38-mesc-a1h5-hkt-f13-r2-c3_S1166_.processed.bam	0.0160997014682217	0.180362622412914	0.225711850860362	0.218414509412766
f1216-c38-mesc-a1h5-hkt-f13-r2-c4_S1167_.processed.bam	0.0049964994588339	0.24145215222122	0.229264161206155	0.228355313562828
f1216-c38-mesc-a1h5-hkt-f13-r2-c5_S1168_.processed.bam	0.0192944457226006	0.162573367966362	0.230168171745946	0.222883220535642
f1216-c38-mesc-a1h5-hkt-f13-r2-c6_S1169_.processed.bam	0.0160066097190841	0.16699749870051	0.198634340268812	0.19055458496009
f1216-c38-mesc-a1h5-hkt-f13-r3-c2_S1170_.processed.bam	0.0137426847236219	0.173091770240376	0.234987115974453	0.217294591255529
f1216-c38-mesc-a1h5-hkt-f13-r3-c3_S1171_.processed.bam	0.0120463432107428	0.193806230946539	0.230982859670335	0.223676329944123
f1216-c38-mesc-a1h5-hkt-f13-r3-c4_S1172_.processed.bam	0.0128794600261135	0.214802211824755	0.218550014798773	0.217762251769066
f1216-c38-mesc-a1h5-hkt-f13-r3-c5_S1173_.processed.bam	0.0152227971677226	0.184038883893696	0.227544949911813	0.223626183362451
f1216-c38-mesc-a1h5-hkt-f13-r3-c6_S1174_.processed.bam	0.0145840662609517	0.191174364887372	0.224251409982984	0.217958987440433
f1216-c38-mesc-a1h5-hkt-f13-r4-c2_S1175_.processed.bam	0.0180870075245928	0.231736315117585	0.231696618611168	0.231688310961839
f1216-c38-mesc-a1h5-hkt-f13-r4-c3_S1176_.processed.bam	0.014708478403325	0.171722936327663	0.206797976114698	0.199903424922313
f1216-c38-mesc-a1h5-hkt-f13-r4-c4_S1177_.processed.bam	0.0160161030798584	0.232069012927585	0.246890149220475	0.245785169065063
f1216-c38-mesc-a1h5-hkt-f13-r4-c5_S1178_.processed.bam	0.0117403930857103	0.185232254287387	0.212704105719798	0.204956687506247
f1216-c38-mesc-a1h5-hkt-f13-r4-c6_S1179_.processed.bam	0.0144544023474133	0.172832235093449	0.196552054925467	0.192118749875136
f1216-c38-mesc-a1h5-hkt-f13-r5-c2_S1180_.processed.bam	0.0139740562526439	0.178154722629029	0.185027983153847	0.182967802747914
f1216-c38-mesc-a1h5-hkt-f13-r5-c3_S1181_.processed.bam	0.0150476234021725	0.169021115531912	0.207032955131257	0.197076129375637
f1216-c38-mesc-a1h5-hkt-f13-r5-c4_S1182_.processed.bam	0.0130444216478592	0.187457055672919	0.227396248838524	0.221121372405413
f1216-c38-mesc-a1h5-hkt-f13-r5-c5_S1183_.processed.bam	0.0136509788585418	0.172087295671047	0.213396819404438	0.205636375884502
f1216-c38-mesc-a1h5-hkt-f13-r5-c6_S1184_.processed.bam	0.0123988745813602	0.176207940598699	0.208964390234333	0.205845734152832
f1216-c38-mesc-a1h5-hkt-f13-r6-c2_S1185_.processed.bam	0.0100557240081153	0.183195365557084	0.218020919784032	0.211310152201555
f1216-c38-mesc-a1h5-hkt-f13-r6-c3_S1186_.processed.bam	0.00567834158623013	0.236120833068189	0.237401641830545	0.236296210833513
