Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing	coverage	spikiness	evenness.mean	evenness.med
f1216-c38-mesc-a1h5-hkt-f13-r6-c4_S1187_.processed.bam	G	114	0.00254245	0.959	298920	298920	70.478774	0.026161	0.0075986548	0.0503688031	56	0.4705882353	0.418204	0.134818	0.00762826835926511	0.203558994732799	0.22734520159265	0.220656518473309
f1216-c38-mesc-a1h5-hkt-f13-r6-c5_S1188_.processed.bam	G	114	0.000252693	0.9579	367702	367702	70.722841	0.027267	0.0093688347	0.0811106926	69	0.5303030303	0.416821	0.148073	0.00940809206763617	0.194323587096192	0.215331974493543	0.210267858558655
f1216-c38-mesc-a1h5-hkt-f14-r2-c2_S1190_.processed.bam	G	138	6.00415e-05	0.9375	306872	306872	74.05763	0.039613	0.0080836887	0.0314963163	56	0.4565217391	0.417625	0.11367	0.00822606895261562	0.203180889991366	0.220081078577784	0.216229665491099
f1216-c38-mesc-a1h5-hkt-f14-r2-c3_S1191_.processed.bam	P	124	0.0015238	0.9192	711100	711100	72.358778	0.041094	0.0182740233	0.1521729578	124	0.4861111111	0.426561	0.172351	0.0186252928097468	0.23559393229444	0.236036072339664	0.236028339360426
f1216-c38-mesc-a1h5-hkt-f14-r2-c4_S1192_.processed.bam	G	109	0.0258972	0.9085	160010	160010	70.912993	0.016524	0.0041330717	0.1705214178	29	0.4838709677	0.422858	0.120615	0.00410703899745894	0.282907109138127	0.248291378818395	0.247976546740613
f1216-c38-mesc-a1h5-hkt-f14-r2-c5_S1193_.processed.bam	G	113	0.00151764	0.8286	75040	75040	70.638633	0.013033	0.001937644	0.0533379215	14	0.3461538462	0.42565	0.0833781	0.00191903083199135	0.332654225409502	0.247524559006635	0.246226108730265
f1216-c38-mesc-a1h5-hkt-f14-r2-c6_S1194_.processed.bam	G	127	0.00525552	0.9159	569066	569066	72.828827	0.037486	0.0147743793	0.0278746945	109	0.48	0.421019	0.160498	0.0150106890972139	0.176113501912437	0.239919149122442	0.225295657142265
f1216-c38-mesc-a1h5-hkt-f14-r3-c2_S1195_.processed.bam	G	125	0.00468723	0.9538	585940	585940	72.487442	0.039564	0.0151084735	0.045633852	109	0.4880952381	0.415288	0.158878	0.0153842535767623	0.169345707324065	0.208512761646602	0.20168127944923
f1216-c38-mesc-a1h5-hkt-f14-r3-c3_S1196_.processed.bam	G	131	0.00534441	0.9661	418992	418992	73.486422	0.04285	0.010915134	0.0226996078	78	0.5581395349	0.413273	0.127427	0.0111562827249822	0.186299992458711	0.221639828713729	0.211246631775175
f1216-c38-mesc-a1h5-hkt-f14-r3-c4_S1197_.processed.bam	G	123	0.00734586	0.9581	353532	353532	72.901242	0.037055	0.0091918171	0.0333924122	66	0.4626865672	0.414898	0.123719	0.00933516253070377	0.196748034950029	0.225400657984568	0.219511192889336
