Library	Quality
f1216-c38-mesc-a1h5-hkt-r59-c52_S808_	G
f1216-c38-mesc-a1h5-hkt-r59-c53_S809_	G
f1216-c38-mesc-a1h5-hkt-r59-c54_S810_	G
f1216-wt-mesc-a1h5-hkt-f11-r2-c2_S1115_	G
f1216-wt-mesc-a1h5-hkt-f11-r2-c3_S1116_	G
f1216-wt-mesc-a1h5-hkt-f11-r2-c4_S1117_	P
f1216-wt-mesc-a1h5-hkt-f11-r2-c5_S1118_	P
f1216-wt-mesc-a1h5-hkt-f11-r2-c6_S1119_	P
f1216-wt-mesc-a1h5-hkt-f11-r3-c2_S1120_	G
f1216-wt-mesc-a1h5-hkt-f11-r3-c3_S1121_	P
f1216-wt-mesc-a1h5-hkt-f11-r3-c4_S1122_	G
f1216-wt-mesc-a1h5-hkt-f11-r3-c5_S1123_	P
f1216-wt-mesc-a1h5-hkt-f11-r3-c6_S1124_	P
f1216-wt-mesc-a1h5-hkt-f11-r4-c2_S1125_	G
f1216-wt-mesc-a1h5-hkt-f11-r4-c3_S1126_	G
f1216-wt-mesc-a1h5-hkt-f11-r4-c4_S1127_	G
f1216-wt-mesc-a1h5-hkt-f11-r4-c5_S1128_	G
f1216-wt-mesc-a1h5-hkt-f11-r4-c6_S1129_	G
f1216-wt-mesc-a1h5-hkt-f11-r5-c2_S1130_	G
f1216-wt-mesc-a1h5-hkt-f11-r5-c3_S1131_	G
f1216-wt-mesc-a1h5-hkt-f11-r5-c4_S1132_	G
f1216-wt-mesc-a1h5-hkt-f11-r5-c5_S1133_	G
f1216-wt-mesc-a1h5-hkt-f11-r5-c6_S1134_	G
f1216-wt-mesc-a1h5-hkt-f11-r6-c2_S1135_	G
f1216-wt-mesc-a1h5-hkt-f11-r6-c3_S1136_	G
f1216-wt-mesc-a1h5-hkt-f11-r6-c4_S1137_	G
f1216-wt-mesc-a1h5-hkt-f11-r6-c5_S1138_	P
f1216-wt-mesc-a1h5-hkt-f12-r2-c2_S1140_	G
f1216-wt-mesc-a1h5-hkt-f12-r2-c3_S1141_	G
f1216-wt-mesc-a1h5-hkt-f12-r2-c4_S1142_	G
f1216-wt-mesc-a1h5-hkt-f12-r2-c5_S1143_	G
f1216-wt-mesc-a1h5-hkt-f12-r2-c6_S1144_	G
f1216-wt-mesc-a1h5-hkt-f12-r3-c2_S1145_	G
f1216-wt-mesc-a1h5-hkt-f12-r3-c3_S1146_	G
f1216-wt-mesc-a1h5-hkt-f12-r3-c4_S1147_	G
f1216-wt-mesc-a1h5-hkt-f12-r3-c5_S1148_	G
f1216-wt-mesc-a1h5-hkt-f12-r3-c6_S1149_	G
f1216-wt-mesc-a1h5-hkt-f12-r4-c2_S1150_	G
f1216-wt-mesc-a1h5-hkt-f12-r4-c3_S1151_	G
f1216-wt-mesc-a1h5-hkt-f12-r4-c4_S1152_	G
f1216-wt-mesc-a1h5-hkt-f12-r4-c5_S1153_	G
f1216-wt-mesc-a1h5-hkt-f12-r4-c6_S1154_	G
f1216-wt-mesc-a1h5-hkt-f12-r5-c2_S1155_	G
f1216-wt-mesc-a1h5-hkt-f12-r5-c3_S1156_	G
